Episode: 656, Score: 0.0, Avg reward: 2.72
Episode: 657, Score: 0.0, Avg reward: 2.64
Episode: 658, Score: 1.0, Avg reward: 2.65
Episode: 659, Score: 1.0, Avg reward: 2.61
Episode: 660, Score: 0.0, Avg reward: 2.60
Episode: 661, Score: 5.0, Avg reward: 2.61
Episode: 662, Score: 0.0, Avg reward: 2.56
Episode: 663, Score: 4.0, Avg reward: 2.60
Episode: 664, Score: 0.0, Avg reward: 2.56
Episode: 665, Score: 2.0, Avg reward: 2.58
Episode: 666, Score: 5.0, Avg reward: 2.63
Episode: 0, Score: 2.0, Avg reward: 2.00
Episode: 1, Score: 1.0, Avg reward: 1.50
Episode: 2, Score: 0.0, Avg reward: 1.00
Episode: 3, Score: -1.0, Avg reward: 0.50
Episode: 4, Score: 1.0, Avg reward: 0.60
Episode: 5, Score: 3.0, Avg reward: 1.00
Episode: 6, Score: 0.0, Avg reward: 0.86
Episode: 7, Score: 2.0, Avg reward: 1.00
Episode: 8, Score: 0.0, Avg reward: 0.89
Episode: 9, Score: 1.0, Avg reward: 0.90
Episode: 10, Score: 5.0, Avg reward: 1.27
Episode: 11, Score: -1.0, Avg reward: 1.08
Episode: 12, Score: 0.0, Avg reward: 1.00
Episode: 13, Score: 0.0, Avg reward: 0.93
Episode: 14, Score: -1.0, Avg reward: 0.80
Episode: 15, Score: -1.0, Avg reward: 0.69
Episode: 16, Score: 1.0, Avg reward: 0.71
Episode: 17, Score: 0.0, Avg reward: 0.67
Episode: 18, Score: 2.0, Avg reward: 0.74
Episode: 19, Score: 0.0, Avg reward: 0.70
Episode: 20, Score: 0.0, Avg reward: 0.67
Episode: 21, Score: 0.0, Avg reward: 0.64
Episode: 22, Score: 0.0, Avg reward: 0.61
Episode: 23, Score: 2.0, Avg reward: 0.67
Episode: 24, Score: 1.0, Avg reward: 0.68
Episode: 25, Score: 1.0, Avg reward: 0.69
Episode: 26, Score: 0.0, Avg reward: 0.67
Episode: 27, Score: 4.0, Avg reward: 0.79
Episode: 28, Score: 2.0, Avg reward: 0.83
Episode: 29, Score: -1.0, Avg reward: 0.77
Episode: 30, Score: 0.0, Avg reward: 0.74
Episode: 31, Score: -1.0, Avg reward: 0.69
Episode: 32, Score: 6.0, Avg reward: 0.85
Episode: 33, Score: 1.0, Avg reward: 0.85
Episode: 34, Score: 16.0, Avg reward: 1.29
Episode: 35, Score: 0.0, Avg reward: 1.25
Episode: 36, Score: 0.0, Avg reward: 1.22
Episode: 37, Score: 2.0, Avg reward: 1.24
Episode: 38, Score: 1.0, Avg reward: 1.23
Episode: 39, Score: -1.0, Avg reward: 1.18
Episode: 40, Score: 0.0, Avg reward: 1.15
Episode: 41, Score: -1.0, Avg reward: 1.10
Episode: 42, Score: 0.0, Avg reward: 1.07
Episode: 43, Score: 0.0, Avg reward: 1.05
Episode: 44, Score: -1.0, Avg reward: 1.00
Episode: 45, Score: -1.0, Avg reward: 0.96
Episode: 46, Score: 0.0, Avg reward: 0.94
Episode: 47, Score: 0.0, Avg reward: 0.92
Episode: 48, Score: 0.0, Avg reward: 0.90
Episode: 49, Score: -1.0, Avg reward: 0.86
Episode: 50, Score: -1.0, Avg reward: 0.82
Episode: 51, Score: 0.0, Avg reward: 0.81
Episode: 52, Score: 0.0, Avg reward: 0.79
Episode: 53, Score: 0.0, Avg reward: 0.78
Episode: 54, Score: -1.0, Avg reward: 0.75
Episode: 55, Score: 15.0, Avg reward: 1.00
Episode: 56, Score: 1.0, Avg reward: 1.00
Episode: 57, Score: 0.0, Avg reward: 0.98
Episode: 58, Score: 2.0, Avg reward: 1.00
Episode: 59, Score: 1.0, Avg reward: 1.00
Episode: 60, Score: 5.0, Avg reward: 1.07
Episode: 61, Score: 2.0, Avg reward: 1.08
Episode: 62, Score: 2.0, Avg reward: 1.10
Episode: 63, Score: 0.0, Avg reward: 1.08
Episode: 64, Score: 3.0, Avg reward: 1.11
Episode: 65, Score: -1.0, Avg reward: 1.08
Episode: 66, Score: 0.0, Avg reward: 1.06
Episode: 67, Score: 3.0, Avg reward: 1.09
Episode: 68, Score: 0.0, Avg reward: 1.07
Episode: 69, Score: 0.0, Avg reward: 1.06
Episode: 70, Score: 0.0, Avg reward: 1.04
Episode: 71, Score: 2.0, Avg reward: 1.06
Episode: 72, Score: 2.0, Avg reward: 1.07
Episode: 73, Score: 0.0, Avg reward: 1.05
Episode: 74, Score: 3.0, Avg reward: 1.08
Episode: 75, Score: 0.0, Avg reward: 1.07
Episode: 76, Score: 2.0, Avg reward: 1.08
Episode: 77, Score: 7.0, Avg reward: 1.15
Episode: 78, Score: 3.0, Avg reward: 1.18
Episode: 79, Score: 2.0, Avg reward: 1.19
Episode: 80, Score: 1.0, Avg reward: 1.19
Episode: 81, Score: -1.0, Avg reward: 1.16
Episode: 82, Score: 0.0, Avg reward: 1.14
Episode: 83, Score: -1.0, Avg reward: 1.12
Episode: 84, Score: 0.0, Avg reward: 1.11
Episode: 85, Score: 0.0, Avg reward: 1.09
Episode: 86, Score: 1.0, Avg reward: 1.09
Episode: 87, Score: 0.0, Avg reward: 1.08
Episode: 88, Score: 2.0, Avg reward: 1.09
Episode: 89, Score: 0.0, Avg reward: 1.08
Episode: 90, Score: 1.0, Avg reward: 1.08
Episode: 91, Score: 0.0, Avg reward: 1.07
Episode: 92, Score: -1.0, Avg reward: 1.04
Episode: 93, Score: 0.0, Avg reward: 1.03
Episode: 94, Score: 0.0, Avg reward: 1.02
Episode: 95, Score: 0.0, Avg reward: 1.01
Episode: 96, Score: 0.0, Avg reward: 1.00
Episode: 97, Score: 2.0, Avg reward: 1.01
Episode: 98, Score: 4.0, Avg reward: 1.04
Episode: 99, Score: 0.0, Avg reward: 1.03
Episode: 100, Score: 1.0, Avg reward: 1.02
Episode: 101, Score: 0.0, Avg reward: 1.01
Episode: 102, Score: -1.0, Avg reward: 1.00
Episode: 103, Score: 0.0, Avg reward: 1.01
Episode: 104, Score: 1.0, Avg reward: 1.01
Episode: 105, Score: 0.0, Avg reward: 0.98
Episode: 106, Score: 0.0, Avg reward: 0.98
Episode: 107, Score: 1.0, Avg reward: 0.97
Episode: 108, Score: 0.0, Avg reward: 0.97
Episode: 109, Score: -1.0, Avg reward: 0.95
Episode: 110, Score: 0.0, Avg reward: 0.90
Episode: 111, Score: -1.0, Avg reward: 0.90
Episode: 112, Score: 1.0, Avg reward: 0.91
Episode: 113, Score: 0.0, Avg reward: 0.91
Episode: 114, Score: -1.0, Avg reward: 0.91
Episode: 115, Score: 1.0, Avg reward: 0.93
Episode: 116, Score: 0.0, Avg reward: 0.92
Episode: 117, Score: 1.0, Avg reward: 0.93
Episode: 118, Score: -1.0, Avg reward: 0.90
Episode: 119, Score: 5.0, Avg reward: 0.95
Episode: 120, Score: 0.0, Avg reward: 0.95
Episode: 121, Score: 6.0, Avg reward: 1.01
Episode: 122, Score: 0.0, Avg reward: 1.01
Episode: 123, Score: 1.0, Avg reward: 1.00
Episode: 124, Score: 0.0, Avg reward: 0.99
Episode: 125, Score: 0.0, Avg reward: 0.98
Episode: 126, Score: -1.0, Avg reward: 0.97
Episode: 127, Score: -1.0, Avg reward: 0.92
Episode: 128, Score: -1.0, Avg reward: 0.89
Episode: 129, Score: 8.0, Avg reward: 0.98
Episode: 130, Score: 0.0, Avg reward: 0.98
Episode: 131, Score: 0.0, Avg reward: 0.99
Episode: 132, Score: 0.0, Avg reward: 0.93
Episode: 133, Score: 0.0, Avg reward: 0.92
Episode: 134, Score: 1.0, Avg reward: 0.77
Episode: 135, Score: 1.0, Avg reward: 0.78
Episode: 136, Score: 0.0, Avg reward: 0.78
Episode: 137, Score: 4.0, Avg reward: 0.80
Episode: 138, Score: 1.0, Avg reward: 0.80
Episode: 139, Score: 1.0, Avg reward: 0.82
Episode: 140, Score: -1.0, Avg reward: 0.81
Episode: 141, Score: 1.0, Avg reward: 0.83
Episode: 142, Score: 0.0, Avg reward: 0.83
Episode: 143, Score: 0.0, Avg reward: 0.83
Episode: 144, Score: 0.0, Avg reward: 0.84
Episode: 145, Score: 1.0, Avg reward: 0.86
Episode: 146, Score: 0.0, Avg reward: 0.86
Episode: 147, Score: 1.0, Avg reward: 0.87
Episode: 148, Score: 2.0, Avg reward: 0.89
Episode: 149, Score: -1.0, Avg reward: 0.89
Episode: 150, Score: 1.0, Avg reward: 0.91
Episode: 151, Score: 0.0, Avg reward: 0.91
Episode: 152, Score: 0.0, Avg reward: 0.91
Episode: 153, Score: 2.0, Avg reward: 0.93
Episode: 154, Score: 2.0, Avg reward: 0.96
Episode: 155, Score: 0.0, Avg reward: 0.81
Episode: 156, Score: 0.0, Avg reward: 0.80
Episode: 157, Score: 0.0, Avg reward: 0.80
Episode: 158, Score: 0.0, Avg reward: 0.78
Episode: 159, Score: 0.0, Avg reward: 0.77
Episode: 160, Score: -1.0, Avg reward: 0.71
Episode: 161, Score: -1.0, Avg reward: 0.68
Episode: 162, Score: -1.0, Avg reward: 0.65
Episode: 163, Score: -1.0, Avg reward: 0.64
Episode: 164, Score: 2.0, Avg reward: 0.63
Episode: 165, Score: 1.0, Avg reward: 0.65
Episode: 166, Score: 1.0, Avg reward: 0.66
Episode: 167, Score: -1.0, Avg reward: 0.62
Episode: 168, Score: -1.0, Avg reward: 0.61
Episode: 169, Score: 2.0, Avg reward: 0.63
Episode: 170, Score: -1.0, Avg reward: 0.62
Episode: 171, Score: 2.0, Avg reward: 0.62
Episode: 172, Score: 2.0, Avg reward: 0.62
Episode: 173, Score: 0.0, Avg reward: 0.62
Episode: 174, Score: 0.0, Avg reward: 0.59
Episode: 175, Score: 1.0, Avg reward: 0.60
Episode: 176, Score: 6.0, Avg reward: 0.64
Episode: 177, Score: 2.0, Avg reward: 0.59
Episode: 178, Score: 1.0, Avg reward: 0.57
Episode: 179, Score: 1.0, Avg reward: 0.56
Episode: 180, Score: 0.0, Avg reward: 0.55
Episode: 181, Score: 2.0, Avg reward: 0.58
Episode: 182, Score: 1.0, Avg reward: 0.59
Episode: 183, Score: 0.0, Avg reward: 0.60
Episode: 184, Score: 0.0, Avg reward: 0.60
Episode: 185, Score: 28.0, Avg reward: 0.88
Episode: 186, Score: 4.0, Avg reward: 0.91
Episode: 187, Score: 3.0, Avg reward: 0.94
Episode: 188, Score: -1.0, Avg reward: 0.91
Episode: 189, Score: 0.0, Avg reward: 0.91
Episode: 190, Score: 0.0, Avg reward: 0.90
Episode: 191, Score: 2.0, Avg reward: 0.92
Episode: 192, Score: 0.0, Avg reward: 0.93
Episode: 193, Score: 2.0, Avg reward: 0.95
Episode: 194, Score: 16.0, Avg reward: 1.11
Episode: 195, Score: 1.0, Avg reward: 1.12
Episode: 196, Score: 0.0, Avg reward: 1.12
Episode: 197, Score: -1.0, Avg reward: 1.09
Episode: 198, Score: 1.0, Avg reward: 1.06
Episode: 199, Score: 0.0, Avg reward: 1.06
Episode: 200, Score: 0.0, Avg reward: 1.05
Episode: 201, Score: 0.0, Avg reward: 1.05
Episode: 202, Score: -1.0, Avg reward: 1.05
Episode: 203, Score: -1.0, Avg reward: 1.04
Episode: 204, Score: 3.0, Avg reward: 1.06
Episode: 205, Score: -1.0, Avg reward: 1.05
Episode: 206, Score: 0.0, Avg reward: 1.05
Episode: 207, Score: 0.0, Avg reward: 1.04
Episode: 208, Score: 2.0, Avg reward: 1.06
Episode: 209, Score: 0.0, Avg reward: 1.07
Episode: 210, Score: 1.0, Avg reward: 1.08
Episode: 211, Score: 0.0, Avg reward: 1.09
