Episode: 0, Score: -44.0, Avg reward: -44.00
Episode: 1, Score: -46.0, Avg reward: -45.00
Episode: 2, Score: -46.0, Avg reward: -45.33
Episode: 3, Score: -44.0, Avg reward: -45.00
Episode: 4, Score: -48.0, Avg reward: -45.60
Episode: 5, Score: -44.0, Avg reward: -45.33
Episode: 6, Score: -12.0, Avg reward: -40.57
Episode: 7, Score: -40.0, Avg reward: -40.50
Episode: 8, Score: -44.0, Avg reward: -40.89
Episode: 9, Score: -48.0, Avg reward: -41.60
Episode: 10, Score: -48.0, Avg reward: -42.18
Episode: 11, Score: -46.0, Avg reward: -42.50
Episode: 12, Score: -42.0, Avg reward: -42.46
Episode: 13, Score: -44.0, Avg reward: -42.57
Episode: 14, Score: -48.0, Avg reward: -42.93
Episode: 15, Score: -46.0, Avg reward: -43.12
Episode: 16, Score: -46.0, Avg reward: -43.29
Episode: 17, Score: -42.0, Avg reward: -43.22
Episode: 18, Score: -18.0, Avg reward: -41.89
Episode: 19, Score: -48.0, Avg reward: -42.20
Episode: 20, Score: -46.0, Avg reward: -42.38
Episode: 21, Score: -46.0, Avg reward: -42.55
Episode: 22, Score: -48.0, Avg reward: -42.78
Episode: 23, Score: -38.0, Avg reward: -42.58
Episode: 24, Score: -46.0, Avg reward: -42.72
Episode: 25, Score: -46.0, Avg reward: -42.85
Episode: 26, Score: -42.0, Avg reward: -42.81
Episode: 27, Score: -42.0, Avg reward: -42.79
Episode: 28, Score: -42.0, Avg reward: -42.76
Episode: 29, Score: -46.0, Avg reward: -42.87
Episode: 30, Score: -48.0, Avg reward: -43.03
Episode: 31, Score: -48.0, Avg reward: -43.19
Episode: 32, Score: -42.0, Avg reward: -43.15
Episode: 33, Score: -48.0, Avg reward: -43.29
Episode: 34, Score: -44.0, Avg reward: -43.31
Episode: 35, Score: -46.0, Avg reward: -43.39
Episode: 36, Score: -40.0, Avg reward: -43.30
Episode: 37, Score: -44.0, Avg reward: -43.32
Episode: 38, Score: -48.0, Avg reward: -43.44
Episode: 39, Score: -46.0, Avg reward: -43.50
Episode: 40, Score: -44.0, Avg reward: -43.51
Episode: 41, Score: -46.0, Avg reward: -43.57
Episode: 42, Score: -42.0, Avg reward: -43.53
Episode: 43, Score: -46.0, Avg reward: -43.59
Episode: 44, Score: -44.0, Avg reward: -43.60
Episode: 45, Score: -46.0, Avg reward: -43.65
Episode: 46, Score: -46.0, Avg reward: -43.70
Episode: 47, Score: -48.0, Avg reward: -43.79
Episode: 48, Score: -44.0, Avg reward: -43.80
Episode: 49, Score: -48.0, Avg reward: -43.88
Episode: 50, Score: -32.0, Avg reward: -43.65
Episode: 51, Score: -46.0, Avg reward: -43.69
Episode: 52, Score: -46.0, Avg reward: -43.74
Episode: 53, Score: -48.0, Avg reward: -43.81
Episode: 54, Score: -46.0, Avg reward: -43.85
Episode: 55, Score: -44.0, Avg reward: -43.86
Episode: 56, Score: -44.0, Avg reward: -43.86
Episode: 57, Score: -46.0, Avg reward: -43.90
Episode: 58, Score: -44.0, Avg reward: -43.90
Episode: 59, Score: -46.0, Avg reward: -43.93
Episode: 60, Score: -46.0, Avg reward: -43.97
Episode: 61, Score: 2.0, Avg reward: -43.23
Episode: 62, Score: -42.0, Avg reward: -43.21
Episode: 63, Score: -44.0, Avg reward: -43.22
Episode: 64, Score: -48.0, Avg reward: -43.29
Episode: 65, Score: -46.0, Avg reward: -43.33
Episode: 66, Score: -42.0, Avg reward: -43.31
Episode: 67, Score: -46.0, Avg reward: -43.35
Episode: 68, Score: -44.0, Avg reward: -43.36
Episode: 69, Score: -34.0, Avg reward: -43.23
Episode: 70, Score: -48.0, Avg reward: -43.30
Episode: 71, Score: -42.0, Avg reward: -43.28
Episode: 72, Score: -46.0, Avg reward: -43.32
Episode: 73, Score: -42.0, Avg reward: -43.30
Episode: 74, Score: -44.0, Avg reward: -43.31
Episode: 75, Score: -46.0, Avg reward: -43.34
Episode: 76, Score: -18.0, Avg reward: -43.01
Episode: 77, Score: -46.0, Avg reward: -43.05
Episode: 78, Score: -44.0, Avg reward: -43.06
Episode: 79, Score: -44.0, Avg reward: -43.08
Episode: 80, Score: -44.0, Avg reward: -43.09
Episode: 81, Score: -46.0, Avg reward: -43.12
Episode: 82, Score: -48.0, Avg reward: -43.18
Episode: 83, Score: -42.0, Avg reward: -43.17
Episode: 84, Score: -46.0, Avg reward: -43.20
Episode: 85, Score: -38.0, Avg reward: -43.14
Episode: 86, Score: -42.0, Avg reward: -43.13
Episode: 87, Score: -42.0, Avg reward: -43.11
Episode: 88, Score: -46.0, Avg reward: -43.15
Episode: 89, Score: -12.0, Avg reward: -42.80
Episode: 90, Score: -46.0, Avg reward: -42.84
Episode: 91, Score: -48.0, Avg reward: -42.89
Episode: 92, Score: -46.0, Avg reward: -42.92
Episode: 93, Score: -40.0, Avg reward: -42.89
Episode: 94, Score: -42.0, Avg reward: -42.88
Episode: 95, Score: -46.0, Avg reward: -42.92
Episode: 96, Score: -44.0, Avg reward: -42.93
Episode: 97, Score: -40.0, Avg reward: -42.90
Episode: 98, Score: -46.0, Avg reward: -42.93
Episode: 99, Score: -42.0, Avg reward: -42.92
Episode: 100, Score: -46.0, Avg reward: -42.94
Episode: 101, Score: -44.0, Avg reward: -42.92
Episode: 102, Score: -46.0, Avg reward: -42.92
Episode: 103, Score: -44.0, Avg reward: -42.92
Episode: 104, Score: -46.0, Avg reward: -42.90
Episode: 105, Score: -46.0, Avg reward: -42.92
Episode: 106, Score: -46.0, Avg reward: -43.26
Episode: 107, Score: -44.0, Avg reward: -43.30
Episode: 108, Score: -42.0, Avg reward: -43.28
Episode: 109, Score: -46.0, Avg reward: -43.26
Episode: 110, Score: -48.0, Avg reward: -43.26
Episode: 111, Score: -44.0, Avg reward: -43.24
Episode: 112, Score: -46.0, Avg reward: -43.28
Episode: 113, Score: -48.0, Avg reward: -43.32
Episode: 114, Score: -44.0, Avg reward: -43.28
Episode: 115, Score: -44.0, Avg reward: -43.26
Episode: 116, Score: -48.0, Avg reward: -43.28
Episode: 117, Score: -46.0, Avg reward: -43.32
Episode: 118, Score: -46.0, Avg reward: -43.60
Episode: 119, Score: -46.0, Avg reward: -43.58
Episode: 120, Score: -48.0, Avg reward: -43.60
Episode: 121, Score: -46.0, Avg reward: -43.60
Episode: 122, Score: -46.0, Avg reward: -43.58
Episode: 123, Score: -46.0, Avg reward: -43.66
Episode: 124, Score: -46.0, Avg reward: -43.66
Episode: 125, Score: -48.0, Avg reward: -43.68
Episode: 126, Score: -46.0, Avg reward: -43.72
Episode: 127, Score: -48.0, Avg reward: -43.78
Episode: 128, Score: -40.0, Avg reward: -43.76
Episode: 129, Score: -46.0, Avg reward: -43.76
Episode: 130, Score: -46.0, Avg reward: -43.74
Episode: 131, Score: -46.0, Avg reward: -43.72
Episode: 132, Score: -46.0, Avg reward: -43.76
Episode: 133, Score: -42.0, Avg reward: -43.70
Episode: 134, Score: -44.0, Avg reward: -43.70
Episode: 135, Score: -46.0, Avg reward: -43.70
Episode: 136, Score: -40.0, Avg reward: -43.70
Episode: 137, Score: -46.0, Avg reward: -43.72
Episode: 138, Score: -48.0, Avg reward: -43.72
Episode: 139, Score: -48.0, Avg reward: -43.74
Episode: 140, Score: -44.0, Avg reward: -43.74
Episode: 141, Score: -46.0, Avg reward: -43.74
Episode: 142, Score: -46.0, Avg reward: -43.78
Episode: 143, Score: -46.0, Avg reward: -43.78
Episode: 144, Score: -46.0, Avg reward: -43.80
Episode: 145, Score: -40.0, Avg reward: -43.74
Episode: 146, Score: -44.0, Avg reward: -43.72
Episode: 147, Score: -42.0, Avg reward: -43.66
Episode: 148, Score: -46.0, Avg reward: -43.68
Episode: 149, Score: -48.0, Avg reward: -43.68
Episode: 150, Score: -46.0, Avg reward: -43.82
Episode: 151, Score: -46.0, Avg reward: -43.82
Episode: 152, Score: -46.0, Avg reward: -43.82
Episode: 153, Score: -46.0, Avg reward: -43.80
Episode: 154, Score: -46.0, Avg reward: -43.80
Episode: 155, Score: -44.0, Avg reward: -43.80
Episode: 156, Score: -46.0, Avg reward: -43.82
Episode: 157, Score: -46.0, Avg reward: -43.82
Episode: 158, Score: -48.0, Avg reward: -43.86
Episode: 159, Score: -46.0, Avg reward: -43.86
Episode: 160, Score: -44.0, Avg reward: -43.84
Episode: 161, Score: -48.0, Avg reward: -44.34
Episode: 162, Score: -46.0, Avg reward: -44.38
Episode: 163, Score: -48.0, Avg reward: -44.42
Episode: 164, Score: -44.0, Avg reward: -44.38
Episode: 165, Score: -42.0, Avg reward: -44.34
Episode: 166, Score: -48.0, Avg reward: -44.40
Episode: 167, Score: -44.0, Avg reward: -44.38
Episode: 168, Score: -28.0, Avg reward: -44.22
Episode: 169, Score: -42.0, Avg reward: -44.30
Episode: 170, Score: -42.0, Avg reward: -44.24
Episode: 171, Score: -38.0, Avg reward: -44.20
Episode: 172, Score: -46.0, Avg reward: -44.20
Episode: 173, Score: -46.0, Avg reward: -44.24
Episode: 174, Score: -44.0, Avg reward: -44.24
Episode: 175, Score: -42.0, Avg reward: -44.20
Episode: 176, Score: -44.0, Avg reward: -44.46
Episode: 177, Score: -46.0, Avg reward: -44.46
Episode: 178, Score: -40.0, Avg reward: -44.42
Episode: 179, Score: -46.0, Avg reward: -44.44
Episode: 180, Score: -34.0, Avg reward: -44.34
Episode: 181, Score: -46.0, Avg reward: -44.34
Episode: 182, Score: -46.0, Avg reward: -44.32
Episode: 183, Score: -46.0, Avg reward: -44.36
Episode: 184, Score: -10.0, Avg reward: -44.00
Episode: 185, Score: -48.0, Avg reward: -44.10
Episode: 186, Score: -46.0, Avg reward: -44.14
Episode: 187, Score: -42.0, Avg reward: -44.14
Episode: 188, Score: -46.0, Avg reward: -44.14
Episode: 189, Score: -46.0, Avg reward: -44.48
Episode: 190, Score: -44.0, Avg reward: -44.46
Episode: 191, Score: -46.0, Avg reward: -44.44
Episode: 192, Score: -42.0, Avg reward: -44.40
Episode: 193, Score: -16.0, Avg reward: -44.16
Episode: 194, Score: -44.0, Avg reward: -44.18
Episode: 195, Score: -46.0, Avg reward: -44.18
Episode: 196, Score: -48.0, Avg reward: -44.22
Episode: 197, Score: -44.0, Avg reward: -44.26
Episode: 198, Score: -44.0, Avg reward: -44.24
Episode: 199, Score: -46.0, Avg reward: -44.28
Episode: 200, Score: -44.0, Avg reward: -44.26
Episode: 201, Score: -48.0, Avg reward: -44.30
Episode: 202, Score: -48.0, Avg reward: -44.32
Episode: 203, Score: -40.0, Avg reward: -44.28
Episode: 204, Score: -46.0, Avg reward: -44.28
Episode: 205, Score: -46.0, Avg reward: -44.28
Episode: 206, Score: -46.0, Avg reward: -44.28
Episode: 207, Score: -46.0, Avg reward: -44.30
Episode: 208, Score: -46.0, Avg reward: -44.34
Episode: 209, Score: -44.0, Avg reward: -44.32
Episode: 210, Score: -46.0, Avg reward: -44.30
Episode: 211, Score: -46.0, Avg reward: -44.32
Episode: 212, Score: -44.0, Avg reward: -44.30
Episode: 213, Score: -46.0, Avg reward: -44.28
Episode: 214, Score: -46.0, Avg reward: -44.30
Episode: 215, Score: -46.0, Avg reward: -44.32
Episode: 216, Score: -46.0, Avg reward: -44.30
Episode: 217, Score: -46.0, Avg reward: -44.30
Episode: 218, Score: -46.0, Avg reward: -44.30
Episode: 219, Score: -48.0, Avg reward: -44.32
Episode: 220, Score: -46.0, Avg reward: -44.30
Episode: 221, Score: -46.0, Avg reward: -44.30
Episode: 222, Score: -46.0, Avg reward: -44.30
Episode: 223, Score: -46.0, Avg reward: -44.30
Episode: 224, Score: -46.0, Avg reward: -44.30
Episode: 225, Score: -46.0, Avg reward: -44.28
Episode: 226, Score: -44.0, Avg reward: -44.26
Episode: 227, Score: -42.0, Avg reward: -44.20
Episode: 228, Score: -46.0, Avg reward: -44.26
Episode: 229, Score: -46.0, Avg reward: -44.26
Episode: 230, Score: -30.0, Avg reward: -44.10
Episode: 231, Score: -46.0, Avg reward: -44.10
Episode: 232, Score: -44.0, Avg reward: -44.08
Episode: 233, Score: -46.0, Avg reward: -44.12
Episode: 234, Score: -48.0, Avg reward: -44.16
Episode: 235, Score: -42.0, Avg reward: -44.12
Episode: 236, Score: -44.0, Avg reward: -44.16
Episode: 237, Score: -30.0, Avg reward: -44.00
Episode: 238, Score: -42.0, Avg reward: -43.94
Episode: 239, Score: -40.0, Avg reward: -43.86
Episode: 240, Score: -48.0, Avg reward: -43.90
Episode: 241, Score: -48.0, Avg reward: -43.92
Episode: 242, Score: -48.0, Avg reward: -43.94
Episode: 243, Score: -44.0, Avg reward: -43.92
