Episode: 0, Score: -44.0, Avg reward: -44.00
Episode: 1, Score: -46.0, Avg reward: -45.00
Episode: 2, Score: -46.0, Avg reward: -45.33
Episode: 3, Score: -46.0, Avg reward: -45.50
Episode: 4, Score: -40.0, Avg reward: -44.40
Episode: 5, Score: -48.0, Avg reward: -45.00
Episode: 6, Score: -44.0, Avg reward: -44.86
Episode: 7, Score: -40.0, Avg reward: -44.25
Episode: 8, Score: -34.0, Avg reward: -43.11
Episode: 9, Score: -44.0, Avg reward: -43.20
Episode: 10, Score: -46.0, Avg reward: -43.45
Episode: 11, Score: -48.0, Avg reward: -43.83
Episode: 12, Score: -46.0, Avg reward: -44.00
Episode: 13, Score: -46.0, Avg reward: -44.14
Episode: 14, Score: -42.0, Avg reward: -44.00
Episode: 15, Score: -44.0, Avg reward: -44.00
Episode: 16, Score: -46.0, Avg reward: -44.12
Episode: 17, Score: -46.0, Avg reward: -44.22
Episode: 18, Score: -44.0, Avg reward: -44.21
Episode: 19, Score: -46.0, Avg reward: -44.30
Episode: 20, Score: -44.0, Avg reward: -44.29
Episode: 21, Score: -46.0, Avg reward: -44.36
Episode: 22, Score: -46.0, Avg reward: -44.43
Episode: 23, Score: -48.0, Avg reward: -44.58
Episode: 24, Score: -48.0, Avg reward: -44.72
Episode: 25, Score: -46.0, Avg reward: -44.77
Episode: 26, Score: -46.0, Avg reward: -44.81
Episode: 27, Score: 14.0, Avg reward: -42.71
Episode: 28, Score: -42.0, Avg reward: -42.69
Episode: 29, Score: -48.0, Avg reward: -42.87
Episode: 30, Score: -46.0, Avg reward: -42.97
Episode: 31, Score: -48.0, Avg reward: -43.12
Episode: 32, Score: -48.0, Avg reward: -43.27
Episode: 33, Score: -44.0, Avg reward: -43.29
Episode: 34, Score: -48.0, Avg reward: -43.43
Episode: 35, Score: -46.0, Avg reward: -43.50
Episode: 36, Score: -46.0, Avg reward: -43.57
Episode: 37, Score: -46.0, Avg reward: -43.63
Episode: 38, Score: -44.0, Avg reward: -43.64
Episode: 39, Score: -46.0, Avg reward: -43.70
Episode: 40, Score: -46.0, Avg reward: -43.76
Episode: 41, Score: -42.0, Avg reward: -43.71
Episode: 42, Score: -42.0, Avg reward: -43.67
Episode: 43, Score: -44.0, Avg reward: -43.68
Episode: 44, Score: -48.0, Avg reward: -43.78
Episode: 45, Score: -48.0, Avg reward: -43.87
Episode: 46, Score: -46.0, Avg reward: -43.91
Episode: 47, Score: -46.0, Avg reward: -43.96
Episode: 48, Score: -48.0, Avg reward: -44.04
Episode: 49, Score: -48.0, Avg reward: -44.12
Episode: 50, Score: -48.0, Avg reward: -44.20
Episode: 51, Score: -46.0, Avg reward: -44.23
Episode: 52, Score: -46.0, Avg reward: -44.26
Episode: 53, Score: -46.0, Avg reward: -44.30
Episode: 54, Score: -48.0, Avg reward: -44.36
Episode: 55, Score: -48.0, Avg reward: -44.43
Episode: 56, Score: -44.0, Avg reward: -44.42
Episode: 57, Score: -42.0, Avg reward: -44.38
Episode: 58, Score: -42.0, Avg reward: -44.34
Episode: 59, Score: -46.0, Avg reward: -44.37
Episode: 60, Score: -44.0, Avg reward: -44.36
Episode: 61, Score: -46.0, Avg reward: -44.39
Episode: 62, Score: -48.0, Avg reward: -44.44
Episode: 63, Score: -46.0, Avg reward: -44.47
Episode: 64, Score: -42.0, Avg reward: -44.43
Episode: 65, Score: -48.0, Avg reward: -44.48
Episode: 66, Score: -44.0, Avg reward: -44.48
Episode: 67, Score: -46.0, Avg reward: -44.50
Episode: 68, Score: -46.0, Avg reward: -44.52
Episode: 69, Score: -44.0, Avg reward: -44.51
Episode: 70, Score: -46.0, Avg reward: -44.54
Episode: 71, Score: -46.0, Avg reward: -44.56
Episode: 72, Score: -46.0, Avg reward: -44.58
Episode: 73, Score: -46.0, Avg reward: -44.59
Episode: 74, Score: -42.0, Avg reward: -44.56
Episode: 75, Score: -48.0, Avg reward: -44.61
Episode: 76, Score: -46.0, Avg reward: -44.62
Episode: 77, Score: -36.0, Avg reward: -44.51
Episode: 78, Score: -46.0, Avg reward: -44.53
Episode: 79, Score: -40.0, Avg reward: -44.48
Episode: 80, Score: -44.0, Avg reward: -44.47
Episode: 81, Score: -44.0, Avg reward: -44.46
Episode: 82, Score: -42.0, Avg reward: -44.43
Episode: 83, Score: -48.0, Avg reward: -44.48
Episode: 84, Score: -46.0, Avg reward: -44.49
Episode: 85, Score: -46.0, Avg reward: -44.51
Episode: 86, Score: -44.0, Avg reward: -44.51
Episode: 87, Score: -46.0, Avg reward: -44.52
Episode: 88, Score: -38.0, Avg reward: -44.45
Episode: 89, Score: -40.0, Avg reward: -44.40
Episode: 90, Score: -44.0, Avg reward: -44.40
Episode: 91, Score: -46.0, Avg reward: -44.41
Episode: 92, Score: -46.0, Avg reward: -44.43
Episode: 93, Score: -46.0, Avg reward: -44.45
Episode: 94, Score: -46.0, Avg reward: -44.46
Episode: 95, Score: -46.0, Avg reward: -44.48
Episode: 96, Score: -46.0, Avg reward: -44.49
Episode: 97, Score: -42.0, Avg reward: -44.47
Episode: 98, Score: -40.0, Avg reward: -44.42
Episode: 99, Score: -46.0, Avg reward: -44.44
Episode: 100, Score: -42.0, Avg reward: -44.42
Episode: 101, Score: -46.0, Avg reward: -44.42
Episode: 102, Score: -48.0, Avg reward: -44.44
Episode: 103, Score: -44.0, Avg reward: -44.42
Episode: 104, Score: -44.0, Avg reward: -44.46
Episode: 105, Score: -46.0, Avg reward: -44.44
Episode: 106, Score: -46.0, Avg reward: -44.46
Episode: 107, Score: -44.0, Avg reward: -44.50
Episode: 108, Score: -46.0, Avg reward: -44.62
Episode: 109, Score: -48.0, Avg reward: -44.66
Episode: 110, Score: -42.0, Avg reward: -44.62
Episode: 111, Score: -48.0, Avg reward: -44.62
Episode: 112, Score: -44.0, Avg reward: -44.60
Episode: 113, Score: -42.0, Avg reward: -44.56
Episode: 114, Score: -44.0, Avg reward: -44.58
Episode: 115, Score: -46.0, Avg reward: -44.60
Episode: 116, Score: -46.0, Avg reward: -44.60
Episode: 117, Score: -36.0, Avg reward: -44.50
Episode: 118, Score: -48.0, Avg reward: -44.54
Episode: 119, Score: -42.0, Avg reward: -44.50
Episode: 120, Score: -46.0, Avg reward: -44.52
Episode: 121, Score: -44.0, Avg reward: -44.50
Episode: 122, Score: -46.0, Avg reward: -44.50
Episode: 123, Score: -48.0, Avg reward: -44.50
Episode: 124, Score: -38.0, Avg reward: -44.40
Episode: 125, Score: -46.0, Avg reward: -44.40
Episode: 126, Score: -48.0, Avg reward: -44.42
Episode: 127, Score: -48.0, Avg reward: -45.04
Episode: 128, Score: -48.0, Avg reward: -45.10
Episode: 129, Score: -40.0, Avg reward: -45.02
Episode: 130, Score: -46.0, Avg reward: -45.02
Episode: 131, Score: -46.0, Avg reward: -45.00
Episode: 132, Score: -44.0, Avg reward: -44.96
Episode: 133, Score: -46.0, Avg reward: -44.98
Episode: 134, Score: -44.0, Avg reward: -44.94
Episode: 135, Score: -44.0, Avg reward: -44.92
Episode: 136, Score: -44.0, Avg reward: -44.90
Episode: 137, Score: -38.0, Avg reward: -44.82
Episode: 138, Score: -46.0, Avg reward: -44.84
Episode: 139, Score: -48.0, Avg reward: -44.86
Episode: 140, Score: -48.0, Avg reward: -44.88
Episode: 141, Score: -44.0, Avg reward: -44.90
Episode: 142, Score: -46.0, Avg reward: -44.94
Episode: 143, Score: -46.0, Avg reward: -44.96
Episode: 144, Score: -42.0, Avg reward: -44.90
Episode: 145, Score: -44.0, Avg reward: -44.86
Episode: 146, Score: -40.0, Avg reward: -44.80
Episode: 147, Score: -44.0, Avg reward: -44.78
Episode: 148, Score: -42.0, Avg reward: -44.72
Episode: 149, Score: -42.0, Avg reward: -44.66
Episode: 150, Score: -44.0, Avg reward: -44.62
Episode: 151, Score: -46.0, Avg reward: -44.62
Episode: 152, Score: -46.0, Avg reward: -44.62
Episode: 153, Score: -46.0, Avg reward: -44.62
Episode: 154, Score: -36.0, Avg reward: -44.50
Episode: 155, Score: -46.0, Avg reward: -44.48
Episode: 156, Score: -46.0, Avg reward: -44.50
Episode: 157, Score: -46.0, Avg reward: -44.54
Episode: 158, Score: -46.0, Avg reward: -44.58
Episode: 159, Score: -48.0, Avg reward: -44.60
Episode: 160, Score: -48.0, Avg reward: -44.64
Episode: 161, Score: -48.0, Avg reward: -44.66
Episode: 162, Score: -44.0, Avg reward: -44.62
Episode: 163, Score: -48.0, Avg reward: -44.64
Episode: 164, Score: -48.0, Avg reward: -44.70
Episode: 165, Score: -46.0, Avg reward: -44.68
Episode: 166, Score: -42.0, Avg reward: -44.66
Episode: 167, Score: -48.0, Avg reward: -44.68
Episode: 168, Score: -48.0, Avg reward: -44.70
Episode: 169, Score: -42.0, Avg reward: -44.68
Episode: 170, Score: -48.0, Avg reward: -44.70
Episode: 171, Score: -46.0, Avg reward: -44.70
Episode: 172, Score: -44.0, Avg reward: -44.68
Episode: 173, Score: -46.0, Avg reward: -44.68
Episode: 174, Score: -46.0, Avg reward: -44.72
Episode: 175, Score: -44.0, Avg reward: -44.68
Episode: 176, Score: -42.0, Avg reward: -44.64
Episode: 177, Score: -46.0, Avg reward: -44.74
Episode: 178, Score: -44.0, Avg reward: -44.72
Episode: 179, Score: -44.0, Avg reward: -44.76
Episode: 180, Score: -46.0, Avg reward: -44.78
Episode: 181, Score: -44.0, Avg reward: -44.78
Episode: 182, Score: -44.0, Avg reward: -44.80
Episode: 183, Score: -42.0, Avg reward: -44.74
Episode: 184, Score: -46.0, Avg reward: -44.74
Episode: 185, Score: 26.0, Avg reward: -44.02
Episode: 186, Score: -48.0, Avg reward: -44.06
Episode: 187, Score: -46.0, Avg reward: -44.06
Episode: 188, Score: -44.0, Avg reward: -44.12
Episode: 189, Score: -36.0, Avg reward: -44.08
Episode: 190, Score: -40.0, Avg reward: -44.04
Episode: 191, Score: -44.0, Avg reward: -44.02
Episode: 192, Score: -46.0, Avg reward: -44.02
Episode: 193, Score: -42.0, Avg reward: -43.98
Episode: 194, Score: -44.0, Avg reward: -43.96
Episode: 195, Score: -44.0, Avg reward: -43.94
Episode: 196, Score: -46.0, Avg reward: -43.94
Episode: 197, Score: -48.0, Avg reward: -44.00
Episode: 198, Score: -46.0, Avg reward: -44.06
Episode: 199, Score: -46.0, Avg reward: -44.06
Episode: 200, Score: -46.0, Avg reward: -44.10
Episode: 201, Score: -46.0, Avg reward: -44.10
Episode: 202, Score: -48.0, Avg reward: -44.10
Episode: 203, Score: -48.0, Avg reward: -44.14
Episode: 204, Score: -40.0, Avg reward: -44.10
Episode: 205, Score: -40.0, Avg reward: -44.04
Episode: 206, Score: -46.0, Avg reward: -44.04
Episode: 207, Score: -46.0, Avg reward: -44.06
Episode: 208, Score: -46.0, Avg reward: -44.06
Episode: 209, Score: -40.0, Avg reward: -43.98
Episode: 210, Score: -46.0, Avg reward: -44.02
Episode: 211, Score: -46.0, Avg reward: -44.00
Episode: 212, Score: -46.0, Avg reward: -44.02
Episode: 213, Score: -44.0, Avg reward: -44.04
Episode: 214, Score: -46.0, Avg reward: -44.06
Episode: 215, Score: -46.0, Avg reward: -44.06
Episode: 216, Score: -46.0, Avg reward: -44.06
Episode: 217, Score: -44.0, Avg reward: -44.14
Episode: 218, Score: -42.0, Avg reward: -44.08
Episode: 219, Score: -40.0, Avg reward: -44.06
Episode: 220, Score: -42.0, Avg reward: -44.02
Episode: 221, Score: -44.0, Avg reward: -44.02
Episode: 222, Score: -46.0, Avg reward: -44.02
Episode: 223, Score: -46.0, Avg reward: -44.00
Episode: 224, Score: -44.0, Avg reward: -44.06
Episode: 225, Score: -48.0, Avg reward: -44.08
Episode: 226, Score: -46.0, Avg reward: -44.06
Episode: 227, Score: -44.0, Avg reward: -44.02
Episode: 228, Score: -44.0, Avg reward: -43.98
Episode: 229, Score: -46.0, Avg reward: -44.04
Episode: 230, Score: -44.0, Avg reward: -44.02
Episode: 231, Score: -26.0, Avg reward: -43.82
Episode: 232, Score: -46.0, Avg reward: -43.84
Episode: 233, Score: -44.0, Avg reward: -43.82
Episode: 234, Score: -46.0, Avg reward: -43.84
Episode: 235, Score: -42.0, Avg reward: -43.82
Episode: 236, Score: -46.0, Avg reward: -43.84
Episode: 237, Score: -42.0, Avg reward: -43.88
Episode: 238, Score: -46.0, Avg reward: -43.88
Episode: 239, Score: -48.0, Avg reward: -43.88
Episode: 240, Score: -30.0, Avg reward: -43.70
Episode: 241, Score: -44.0, Avg reward: -43.70
Episode: 242, Score: -46.0, Avg reward: -43.70
Episode: 243, Score: -48.0, Avg reward: -43.72
